Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
B2H016,Wilger River @ Waterval,4293,-25.57877,29.12747,2005-03-08 to 2019-08-21
B3H001,Olifants River @ Loskop Noord,16553,-24.9265,29.3895,1938-08-06 to 2011-05-31
B3H002,Elands River @ Rust De Winter,1206,-25.20949,28.56887,1929-10-01 to 1933-09-30
B3H003,Elands River @ Kameel River,1050,-25.26282,28.4672,1965-10-02 to 1973-01-29
B3H004,Elands River @ Loskop Noord,6133,-24.88535,29.35723,1966-10-01 to 1987-12-03
B3H005,Moses River @ Mosesriviermond,1673,-24.99118,29.35112,1969-06-11 to 1986-11-26
B3H006,Diepkloof Spruit @ Diepkloof,244,-25.15422,29.49724,1970-07-08 to 1988-06-01
B3H007,Moses River @ Uitspanning,971,-25.27225,29.18069,1980-03-13 to 2019-08-22
B3H008,Elands River @ Weltevreden,4083,-25.11506,28.99722,1981-10-26 to 1988-03-07
B3H021,Elands River @ Skerp Arabie,6119,-24.92647,29.32338,1989-04-18 to 2019-07-12
B3H025,Loskop Noord,16447,-24.95861,29.39527,2007-03-22 to 2019-08-22
B3H026,Eagle's Flight,16421,-24.98036,29.37597,2007-08-01 to 2019-08-22
B4H002,Steelpoort River @ Apiesboomen,4411,-24.66592,30.29365,1931-05-16 to 1937-01-31
B4H003,Steelpoort River @ Buffelskloof,2249,-25.02911,29.8558,1957-09-01 to 2019-09-02
B4H005,Waterval River @ Modderspruit,188,-25.03594,30.21941,1960-09-03 to 2019-09-03
B4H007,Klein-Spekboom River @ Potloodspruit,151,-25.00938,30.50019,1968-08-05 to 2019-09-03
B4H009,Dwars River @ Dwars River,448,-24.91205,30.10327,1966-09-04 to 2019-09-02
B4H010,Dorps River @ Lydenburg Nat Res,526,-25.07513,30.43908,1979-09-27 to 2019-07-30
B4H024,Steelpoort River @ De Hoop Upper,,-25.06676,29.83338,2012-02-01 to 2019-07-29
B4H025,Steelpoort River @ Taung,,-24.48338,30.40027,2012-02-02 to 2019-10-02
B5H002,Olifants River @ Zeekoegat,31416,-24.26817,29.80113,1948-09-01 to 1980-01-31
B5L006,Veekraal,,-23.90403,29.88642,2005-09-21 to 2011-02-15
