#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
C2N1058,Hartebeestfontein,VENTERSDORP,-26.87194444,26.79472222,F,1967/06/30,1993/11/30,GW
C2N1059,Hartebeestfontein,VENTERSDORP,-26.8725,26.79666667,F,1967/06/30,1993/11/30,GW
C2N1060,Hartebeestfontein,VENTERSDORP,-26.86527778,26.78611111,F,1967/06/30,1993/11/30,GW
C2N1061,Hartebeestfontein,VENTERSDORP,-26.86194444,26.80166667,F,1967/06/30,1993/11/30,GW
C2N1064,Hartebeestfontein,VENTERSDORP,-26.83722222,26.77333333,F,1967/06/30,1993/11/30,GW
C2N1065,Hartebeestfontein,VENTERSDORP,-26.84222222,26.77166667,F,1967/06/30,1993/11/30,GW
C2N1066,Hartebeestfontein,VENTERSDORP,-26.84194444,26.7725,F,1967/06/30,1993/08/31,GW
C2N1067,Hartebeestfontein,VENTERSDORP,-26.84111111,26.76611111,F,1967/06/30,1993/11/30,GW
C2N1068,Hartebeestfontein,VENTERSDORP,-26.86583333,26.79333333,F,1967/06/30,1993/11/30,GW
C2N1069,Hartebeestfontein,VENTERSDORP,-26.86555556,26.795,F,1967/06/30,1991/05/31,GW
C2N1070,Hartebeestfontein,VENTERSDORP,-26.86555556,26.78833333,F,1967/06/30,1992/11/30,GW
C2N1071,Hartebeestfontein,VENTERSDORP,-26.87277778,26.77694444,F,1967/06/30,1993/08/31,GW
C2N1072,Hartebeestfontein,VENTERSDORP,-26.86027778,26.78833333,F,1967/06/30,1990/08/31,GW
C2N1073,Hartebeestfontein,VENTERSDORP,-26.86472222,26.80166667,F,1967/06/30,1992/02/29,GW
C2N1074,Hartebeestfontein,VENTERSDORP,-26.86833333,26.8075,F,1967/06/30,1993/11/30,GW
C2N1075,Hartebeestfontein,VENTERSDORP,-26.85055556,26.79527778,F,1967/06/30,1993/11/30,GW
C2N1076,Hartebeestfontein,VENTERSDORP,-26.87277778,26.81138889,F,1967/06/30,1993/11/30,GW
C2N1077,Hartebeestfontein,VENTERSDORP,-26.86555556,26.78972222,F,1967/06/30,1993/11/30,GW
C2N1078,Hartebeestfontein,VENTERSDORP,-26.87805556,26.80305556,F,1967/06/30,1993/11/30,GW
C2N1079,Hartebeestfontein,VENTERSDORP,-26.86611111,26.83027778,F,1967/06/30,1993/11/30,GW
C2N1080,Hartebeestfontein,VENTERSDORP,-26.88027778,26.83638889,F,1967/07/31,1993/07/31,GW
C2N1081,Hartebeestfontein,VENTERSDORP,-26.89277778,26.79611111,F,1967/06/30,1993/11/30,GW
C2N1082,Hartebeestfontein,VENTERSDORP,-26.87777778,26.78611111,F,1967/06/30,1993/11/30,GW
C2N1083,Hartebeestfontein,VENTERSDORP,-26.86944444,26.82166667,F,1967/06/30,1993/11/30,GW
C2N1084,Hartebeestfontein,VENTERSDORP,-26.86333333,26.78277778,F,1967/06/30,1993/11/30,GW
C2N1085,Hartebeestfontein,VENTERSDORP,-26.87138889,26.85444444,F,1967/06/30,1993/11/30,GW
